index_gen,index_ind,htg_sp,clg_sp,wwr,insulation_thickness,carbon_emissons,discomfort_hours
40,18,22,26.5,0.200412263787719,0.446150982070222,228371.7011,1722
40,19,18.5,25.5,0.200417169949724,0.447561973615648,221771.482,2045.83
40,20,21.5,25.5,0.200412493944527,0.435345728701836,231800.9017,1156.67
41,1,20.5,25.5,0.200134566092691,0.446154249813329,227128.9179,1881
41,2,18,26.5,0.200412263787719,0.447604311132718,217437.1857,2980.83
41,3,18.5,26.5,0.200418240829219,0.445888202940271,218053.5108,2974.17
41,4,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
41,5,18,27,0.200126286761207,0.445884732120138,215666.0834,3508.33
41,6,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
41,7,18.5,27,0.200126439811637,0.44588480954609,216211.9229,3502.83
41,8,18,25.5,0.200413177120797,0.446154249813329,221025.3496,2055.17
41,9,21,25.5,0.200413357063105,0.446154249813329,229253.5759,1594.83
41,10,18.5,25.5,0.200126439811637,0.447604311132718,221766.0031,2045.33
41,11,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
41,12,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
41,13,22,25.5,0.20012094965886,0.445884732120138,234653.4988,670.83
41,14,18.5,26.5,0.200134566092691,0.446155780198553,218053.3647,2974.33
41,15,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
41,16,18,27,0.200412342711261,0.446154249813329,215673.7186,3508.33
41,17,22,24,0.200412727527423,0.446154249813329,247101.4105,658.83
41,18,22,25.5,0.200412493944527,0.446154249813329,234670.0822,671
41,19,18.5,25.5,0.200126439811637,0.446155780198553,221768.1312,2045.83
41,20,20.5,25.5,0.200139852410716,0.446132521082239,227129.0154,1881
42,1,20.5,25.5,0.200134566092691,0.446154249813329,227128.9179,1881
42,2,18,26.5,0.200412263787719,0.447604311132718,217437.1857,2980.83
42,3,18.5,26.5,0.200418240829219,0.445888202940271,218053.5108,2974.17
42,4,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
42,5,18,27,0.200126286761207,0.445884732120138,215666.0834,3508.33
42,6,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
42,7,18.5,27,0.200126439811637,0.44588480954609,216211.9229,3502.83
42,8,21,25.5,0.200413357063105,0.446154249813329,229253.5759,1594.83
42,9,18.5,25.5,0.200126439811637,0.447604311132718,221766.0031,2045.33
42,10,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
42,11,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
42,12,18.5,26.5,0.200134566092691,0.446155780198553,218053.3647,2974.33
42,13,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
42,14,18,26.5,0.200134566092691,0.447604311132718,217437.1857,2980.83
42,15,18,25.5,0.200126439811637,0.446132521082239,221016.2758,2054.83
42,16,22,25.5,0.200111619797966,0.446154249813329,234651.8249,670.83
42,17,18,27,0.200412342711261,0.446154249813329,215673.7186,3508.33
42,18,22,24,0.200412727527423,0.446154249813329,247101.4105,658.83
42,19,22,25.5,0.20012094965886,0.445884732120138,234653.4988,670.83
42,20,22,26.5,0.200126439811637,0.446154249813329,228352.3946,1721.17
43,1,20.5,25.5,0.200134566092691,0.446154249813329,227128.9179,1881
43,2,18,26.5,0.200412263787719,0.447604311132718,217437.1857,2980.83
43,3,18.5,26.5,0.200418240829219,0.445888202940271,218053.5108,2974.17
43,4,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
43,5,18,27,0.200126286761207,0.445884732120138,215666.0834,3508.33
43,6,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
43,7,18.5,27,0.200126439811637,0.44588480954609,216211.9229,3502.83
43,8,21,25.5,0.200413357063105,0.446154249813329,229253.5759,1594.83
43,9,18.5,25.5,0.200126439811637,0.447604311132718,221766.0031,2045.33
43,10,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
43,11,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
43,12,18.5,26.5,0.200134566092691,0.446155780198553,218053.3647,2974.33
43,13,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
43,14,18,26.5,0.200134566092691,0.447604311132718,217437.1857,2980.83
43,15,22,25.5,0.200111619797966,0.446154249813329,234651.8249,670.83
43,16,22,25.5,0.200412352148634,0.447604311132718,234665.0159,670.67
43,17,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
43,18,18,27,0.200134566092691,0.447604311132718,215670.5369,3507.83
43,19,18,25.5,0.200126233008428,0.447604311132718,221011.4783,2054.33
43,20,22,24,0.200412727527423,0.446154249813329,247101.4105,658.83
44,1,18,27,0.200126286761207,0.445884732120138,215666.0834,3508.33
44,2,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
44,3,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
44,4,20.5,25.5,0.200134566092691,0.446154249813329,227128.9179,1881
44,5,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
44,6,18.5,25.5,0.200126439811637,0.447604311132718,221766.0031,2045.33
44,7,18.5,26.5,0.200412470040756,0.447604311132718,218049.3478,2973.83
44,8,21,25.5,0.200413357063105,0.446154249813329,229253.5759,1594.83
44,9,22,25.5,0.200111619797966,0.446154249813329,234651.8249,670.83
44,10,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
44,11,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
44,12,18,25.5,0.200126233008428,0.447604311132718,221011.4783,2054.33
44,13,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
44,14,18,26.5,0.200412263787719,0.447604311132718,217437.1857,2980.83
44,15,18,26.5,0.200412727527423,0.447604311132718,217437.1857,2980.83
44,16,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
44,17,18,27,0.200134566092691,0.447604311132718,215670.5369,3507.83
44,18,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
